"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"860Z200US06390","ZCTA5 06390","30","31","9","14","11","15","10","12","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US10001","ZCTA5 10001","13186","1217","335","150","293","152","1016","289","1572","396","3017","571","1354","336","2926","666","620","297","703","212","585","202","621","261","144","75",
"860Z200US10002","ZCTA5 10002","28805","1723","395","188","664","195","1506","394","3417","728","3680","604","2337","498","6927","710","922","277","2128","453","3639","667","2383","584","807","226",
"860Z200US10003","ZCTA5 10003","24178","1717","706","189","1376","326","3249","567","3674","839","5068","685","2327","427","3781","540","1121","379","379","166","1103","333","1017","304","377","336",
"860Z200US10004","ZCTA5 10004","2377","558","90","99","77","48","405","345","211","137","214","87","228","196","614","264","207","112","125","106","67","72","107","112","32","32",
"860Z200US10005","ZCTA5 10005","5939","743","43","53","586","314","545","281","605","217","1184","367","679","263","1340","416","120","126","339","291","178","129","250","180","70","80",
"860Z200US10006","ZCTA5 10006","2070","346","37","58","67","52","346","147","253","120","209","117","228","126","308","144","133","109","112","107","44","43","220","172","113","71",
"860Z200US10007","ZCTA5 10007","3409","616","0","19","164","153","254","148","469","269","940","301","410","207","775","335","51","61","82","80","92","85","160","123","12","20",
"860Z200US10009","ZCTA5 10009","24252","1810","651","323","687","422","1117","316","2139","497","2982","657","1971","623","6410","996","1596","480","1711","542","2706","626","1690","525","592","287",
"860Z200US10010","ZCTA5 10010","13861","1218","307","168","597","228","961","237","2046","400","2523","536","1374","488","3035","698","433","210","735","400","570","194","853","576","427","200",
"860Z200US10011","ZCTA5 10011","24163","1679","784","478","1362","404","2372","485","4241","657","4889","774","2744","569","3847","743","1233","502","887","294","885","326","693","274","226","147",
"860Z200US10012","ZCTA5 10012","10510","949","302","182","995","256","1121","312","1873","600","2086","461","847","232","1738","337","321","191","508","209","274","145","236","137","209","118",
"860Z200US10013","ZCTA5 10013","12081","1234","246","126","633","261","1015","264","1856","494","2225","394","1139","279","2153","642","671","192","856","550","597","228","544","177","146","73",
"860Z200US10014","ZCTA5 10014","14825","1289","183","121","563","244","925","321","1812","384","3967","1029","2119","425","2816","440","324","134","363","183","867","274","682","304","204","116",
"860Z200US10016","ZCTA5 10016","29119","1779","435","209","1889","472","3130","653","4122","627","7100","906","2523","558","4685","813","605","258","1113","340","1982","577","929","364","606","233",
"860Z200US10017","ZCTA5 10017","7673","1029","112","102","467","242","666","262","1367","540","1674","508","493","262","864","361","621","488","250","178","728","334","261","131","170","135",
"860Z200US10018","ZCTA5 10018","4606","490","0","19","145","110","455","191","609","222","1169","262","471","145","809","223","161","104","202","116","150","70","333","212","102","69",
