"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US06390","ZCTA5 06390","47708","16721",
"860Z200US10001","ZCTA5 10001","106509","9423",
"860Z200US10002","ZCTA5 10002","43362","5737",
"860Z200US10003","ZCTA5 10003","152863","10149",
"860Z200US10004","ZCTA5 10004","232543","14137",
"860Z200US10005","ZCTA5 10005","189886","29192",
"860Z200US10006","ZCTA5 10006","204574","22309",
"860Z200US10007","ZCTA5 10007","250,000+","***",
"860Z200US10009","ZCTA5 10009","83344","8153",
"860Z200US10010","ZCTA5 10010","150288","23588",
"860Z200US10011","ZCTA5 10011","145934","17135",
"860Z200US10012","ZCTA5 10012","126890","11459",
"860Z200US10013","ZCTA5 10013","150675","24174",
"860Z200US10014","ZCTA5 10014","147267","15234",
"860Z200US10016","ZCTA5 10016","145864","12565",
"860Z200US10017","ZCTA5 10017","139964","25136",
"860Z200US10018","ZCTA5 10018","149118","28258",
"860Z200US10019","ZCTA5 10019","113335","13895",
"860Z200US10020","ZCTA5 10020","-","**",
"860Z200US10021","ZCTA5 10021","149432","14460",
"860Z200US10022","ZCTA5 10022","161236","21547",
"860Z200US10023","ZCTA5 10023","151468","15653",
"860Z200US10024","ZCTA5 10024","166994","16881",
"860Z200US10025","ZCTA5 10025","106916","7394",
"860Z200US10026","ZCTA5 10026","68831","7178",
"860Z200US10027","ZCTA5 10027","63125","7297",
"860Z200US10028","ZCTA5 10028","160244","20498",
"860Z200US10029","ZCTA5 10029","35640","5012",
"860Z200US10030","ZCTA5 10030","47765","7808",
"860Z200US10031","ZCTA5 10031","64807","3666",
"860Z200US10032","ZCTA5 10032","56752","5909",
"860Z200US10033","ZCTA5 10033","77209","5554",
"860Z200US10034","ZCTA5 10034","65109","6102",
"860Z200US10035","ZCTA5 10035","36989","6345",
"860Z200US10036","ZCTA5 10036","102287","13577",
"860Z200US10037","ZCTA5 10037","50177","9896",
"860Z200US10038","ZCTA5 10038","99641","15968",
"860Z200US10039","ZCTA5 10039","51904","8625",
"860Z200US10040","ZCTA5 10040","59115","4392",
"860Z200US10044","ZCTA5 10044","120759","23645",
