"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"860Z200US06390","ZCTA5 06390","-","**",
"860Z200US10001","ZCTA5 10001","535100","342531",
"860Z200US10002","ZCTA5 10002","784800","87049",
"860Z200US10003","ZCTA5 10003","1111000","107911",
"860Z200US10004","ZCTA5 10004","1792200","794453",
"860Z200US10005","ZCTA5 10005","1750000","710798",
"860Z200US10006","ZCTA5 10006","1066700","104369",
"860Z200US10007","ZCTA5 10007","2,000,000+","***",
"860Z200US10009","ZCTA5 10009","714100","117376",
"860Z200US10010","ZCTA5 10010","1093900","116941",
"860Z200US10011","ZCTA5 10011","1151800","128432",
"860Z200US10012","ZCTA5 10012","1455300","820545",
"860Z200US10013","ZCTA5 10013","2,000,000+","***",
"860Z200US10014","ZCTA5 10014","1427900","253407",
"860Z200US10016","ZCTA5 10016","953300","104855",
"860Z200US10017","ZCTA5 10017","850100","210030",
"860Z200US10018","ZCTA5 10018","911900","144046",
"860Z200US10019","ZCTA5 10019","958800","151202",
"860Z200US10020","ZCTA5 10020","-","**",
"860Z200US10021","ZCTA5 10021","1572800","196959",
"860Z200US10022","ZCTA5 10022","1125600","140712",
"860Z200US10023","ZCTA5 10023","1525300","170342",
"860Z200US10024","ZCTA5 10024","1743700","339868",
"860Z200US10025","ZCTA5 10025","1105100","70894",
"860Z200US10026","ZCTA5 10026","1030400","113602",
"860Z200US10027","ZCTA5 10027","872800","137834",
"860Z200US10028","ZCTA5 10028","1572100","152428",
"860Z200US10029","ZCTA5 10029","735700","99883",
"860Z200US10030","ZCTA5 10030","710500","150573",
"860Z200US10031","ZCTA5 10031","629900","100586",
"860Z200US10032","ZCTA5 10032","593000","133711",
"860Z200US10033","ZCTA5 10033","702500","91804",
"860Z200US10034","ZCTA5 10034","491200","45403",
"860Z200US10035","ZCTA5 10035","661800","109146",
"860Z200US10036","ZCTA5 10036","1450400","599234",
"860Z200US10037","ZCTA5 10037","-","**",
"860Z200US10038","ZCTA5 10038","886400","80080",
"860Z200US10039","ZCTA5 10039","576900","72554",
"860Z200US10040","ZCTA5 10040","454000","42886",
"860Z200US10044","ZCTA5 10044","932000","175912",
"860Z200US10065","ZCTA5 10065","1522200","286859",
"860Z200US10069","ZCTA5 10069","1817100","720919",
"860Z200US10075","ZCTA5 10075","1205100","275869",
"860Z200US10103","ZCTA5 10103","-","**",
"860Z200US10110","ZCTA5 10110","-","**",
"860Z200US10111","ZCTA5 10111","-","**",
"860Z200US10112","ZCTA5 10112","-","**",
"860Z200US10115","ZCTA5 10115","-","**",
"860Z200US10119","ZCTA5 10119","-","**",
"860Z200US10128","ZCTA5 10128","1365400","184277",
"860Z200US10152","ZCTA5 10152","-","**",
"860Z200US10153","ZCTA5 10153","-","**",
"860Z200US10154","ZCTA5 10154","-","**",
"860Z200US10162","ZCTA5 10162","-","**",
"860Z200US10165","ZCTA5 10165","-","**",
"860Z200US10167","ZCTA5 10167","-","**",
"860Z200US10168","ZCTA5 10168","-","**",
"860Z200US10169","ZCTA5 10169","-","**",
"860Z200US10170","ZCTA5 10170","-","**",
"860Z200US10171","ZCTA5 10171","-","**",
"860Z200US10172","ZCTA5 10172","-","**",
"860Z200US10173","ZCTA5 10173","-","**",
"860Z200US10174","ZCTA5 10174","-","**",
"860Z200US10177","ZCTA5 10177","-","**",
"860Z200US10199","ZCTA5 10199","-","**",
"860Z200US10271","ZCTA5 10271","-","**",
"860Z200US10278","ZCTA5 10278","-","**",
"860Z200US10279","ZCTA5 10279","-","**",
"860Z200US10280","ZCTA5 10280","793600","273998",
"860Z200US10282","ZCTA5 10282","2,000,000+","***",
"860Z200US10301","ZCTA5 10301","642300","19150",
"860Z200US10302","ZCTA5 10302","529600","31954",
"860Z200US10303","ZCTA5 10303","433600","12149",
"860Z200US10304","ZCTA5 10304","653100","43592",
"860Z200US10305","ZCTA5 10305","614700","15123",
"860Z200US10306","ZCTA5 10306","653300","13179",
"860Z200US10307","ZCTA5 10307","785200","55921",
"860Z200US10308","ZCTA5 10308","630000","8865",
"860Z200US10309","ZCTA5 10309","699200","28075",
"860Z200US10310","ZCTA5 10310","596200","24048",
"860Z200US10311","ZCTA5 10311","-","**",
"860Z200US10312","ZCTA5 10312","665100","12867",
"860Z200US10314","ZCTA5 10314","649200","11226",
"860Z200US10451","ZCTA5 10451","243400","67950",
"860Z200US10452","ZCTA5 10452","474400","262279",
"860Z200US10453","ZCTA5 10453","524600","192627",
"860Z200US10454","ZCTA5 10454","782900","87595",
"860Z200US10455","ZCTA5 10455","344100","61649",
"860Z200US10456","ZCTA5 10456","403600","78525",
"860Z200US10457","ZCTA5 10457","265200","50670",
"860Z200US10458","ZCTA5 10458","476200","143478",
"860Z200US10459","ZCTA5 10459","570600","33966",
"860Z200US10460","ZCTA5 10460","576500","56003",
"860Z200US10461","ZCTA5 10461","626700","19155",
"860Z200US10462","ZCTA5 10462","398700","60857",
"860Z200US10463","ZCTA5 10463","349300","18956",
"860Z200US10464","ZCTA5 10464","630700","50090",
"860Z200US10465","ZCTA5 10465","587400","17637",
"860Z200US10466","ZCTA5 10466","577600","22158",
"860Z200US10467","ZCTA5 10467","411000","61018",
"860Z200US10468","ZCTA5 10468","278200","51085",
"860Z200US10469","ZCTA5 10469","615600","10593",
"860Z200US10470","ZCTA5 10470","536400","40346",
"860Z200US10471","ZCTA5 10471","371400","30110",
"860Z200US10472","ZCTA5 10472","581100","31846",
"860Z200US10473","ZCTA5 10473","542600","29218",
"860Z200US10474","ZCTA5 10474","434900","174707",
"860Z200US10475","ZCTA5 10475","30800","4318",
"860Z200US10501","ZCTA5 10501","795700","73628",
"860Z200US10502","ZCTA5 10502","811800","41337",
"860Z200US10503","ZCTA5 10503","591900","125470",
"860Z200US10504","ZCTA5 10504","1137300","73449",
"860Z200US10505","ZCTA5 10505","836400","71297",
"860Z200US10506","ZCTA5 10506","1041600","109891",
"860Z200US10507","ZCTA5 10507","626300","111384",
"860Z200US10509","ZCTA5 10509","407300","27039",
"860Z200US10510","ZCTA5 10510","815200","47179",
"860Z200US10511","ZCTA5 10511","465200","49476",
"860Z200US10512","ZCTA5 10512","379300","12852",
"860Z200US10514","ZCTA5 10514","973700","46759",
"860Z200US10516","ZCTA5 10516","597900","28340",
"860Z200US10517","ZCTA5 10517","569700","57457",
"860Z200US10518","ZCTA5 10518","729200","300974",
"860Z200US10519","ZCTA5 10519","-","**",
"860Z200US10520","ZCTA5 10520","648900","22882",
"860Z200US10522","ZCTA5 10522","714500","68615",
